example_id                                                           | status  | run_time        |
-------------------------------------------------------------------- | ------- | --------------- |
./spec/cli/command_parser_spec.rb[1:1:1]                             | passed  | 0.014 seconds   |
./spec/cli/command_parser_spec.rb[1:1:2]                             | passed  | 0 seconds       |
./spec/cli/command_parser_spec.rb[1:1:3]                             | passed  | 0.001 seconds   |
./spec/cli/command_parser_spec.rb[1:1:4]                             | passed  | 0.001 seconds   |
./spec/cli/command_parser_spec.rb[1:1:5]                             | passed  | 0 seconds       |
./spec/cli/command_spec.rb[1:1:1]                                    | passed  | 0.003 seconds   |
./spec/cli/command_spec.rb[1:1:2]                                    | passed  | 0.001 seconds   |
./spec/cli/command_spec.rb[1:1:3]                                    | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:1:1]                                     | passed  | 0.004 seconds   |
./spec/cli/config_spec.rb[1:2:1]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:3:1]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:3:2]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:3:3]                                     | passed  | 0.003 seconds   |
./spec/cli/config_spec.rb[1:3:4]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:3:5]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:3:6]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:3:7]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:3:8]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:3:9]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:3:10]                                    | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:4:1]                                     | passed  | 0.00297 seconds |
./spec/cli/config_spec.rb[1:4:2]                                     | passed  | 0.006 seconds   |
./spec/cli/config_spec.rb[1:4:3]                                     | passed  | 0.001 seconds   |
./spec/cli/config_spec.rb[1:4:4]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:4:5]                                     | passed  | 0.001 seconds   |
./spec/cli/config_spec.rb[1:4:6]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:4:7]                                     | passed  | 0.001 seconds   |
./spec/cli/config_spec.rb[1:4:8]                                     | passed  | 0.001 seconds   |
./spec/cli/config_spec.rb[1:4:9]                                     | passed  | 0.002 seconds   |
./spec/cli/config_spec.rb[1:4:10]                                    | passed  | 0.001 seconds   |
./spec/cli/diff_spec.rb[1:1:1]                                       | passed  | 0.001 seconds   |
./spec/cli/diff_spec.rb[1:2:1]                                       | passed  | 0.03 seconds    |
./spec/cli/diff_spec.rb[1:2:2]                                       | passed  | 0.008 seconds   |
./spec/cli/diff_spec.rb[1:2:3]                                       | passed  | 0.016 seconds   |
./spec/cli/diff_spec.rb[1:2:4]                                       | passed  | 0.01 seconds    |
./spec/cli/diff_spec.rb[1:2:5]                                       | passed  | 0.01 seconds    |
./spec/cli/diff_spec.rb[1:2:6]                                       | passed  | 0.008 seconds   |
./spec/cli/diff_spec.rb[1:3:1]                                       | passed  | 0.07001 seconds |
./spec/cli/diff_spec.rb[1:3:2]                                       | passed  | 0.002 seconds   |
./spec/cli/diff_spec.rb[1:3:3]                                       | passed  | 0.003 seconds   |
./spec/cli/diff_spec.rb[1:3:4]                                       | passed  | 0.002 seconds   |
./spec/cli/diff_spec.rb[1:3:5]                                       | passed  | 0.002 seconds   |
./spec/cli/diff_spec.rb[1:3:6]                                       | passed  | 0.001 seconds   |
./spec/cli/display_spec.rb[1:1]                                      | passed  | 0.02201 seconds |
./spec/cli/display_spec.rb[1:2]                                      | passed  | 0.14599 seconds |
./spec/cli/display_spec.rb[1:3]                                      | passed  | 0.038 seconds   |
./spec/cli/gems_spec.rb[1:1:1]                                       | passed  | 0.002 seconds   |
./spec/cli/gems_spec.rb[1:1:2]                                       | passed  | 0.001 seconds   |
./spec/cli/gems_spec.rb[1:1:3]                                       | passed  | 0.00197 seconds |
./spec/cli/gems_spec.rb[1:1:4]                                       | passed  | 0.001 seconds   |
./spec/cli/gems_spec.rb[1:1:5]                                       | passed  | 0.001 seconds   |
./spec/cli/gems_spec.rb[1:1:6]                                       | passed  | 0.001 seconds   |
./spec/cli/gems_spec.rb[1:1:7]                                       | passed  | 0.001 seconds   |
./spec/cli/graph_spec.rb[1:1]                                        | passed  | 0.011 seconds   |
./spec/cli/graph_spec.rb[1:2]                                        | passed  | 0.006 seconds   |
./spec/cli/help_spec.rb[1:1:1]                                       | passed  | 0 seconds       |
./spec/cli/help_spec.rb[1:1:2]                                       | passed  | 0 seconds       |
./spec/cli/help_spec.rb[1:1:3]                                       | passed  | 0.001 seconds   |
./spec/cli/i18n_spec.rb[1:1:1]                                       | passed  | 0.025 seconds   |
./spec/cli/i18n_spec.rb[1:1:2]                                       | passed  | 0.023 seconds   |
./spec/cli/i18n_spec.rb[1:2:1]                                       | passed  | 0.02399 seconds |
