6.1.7600.16385,x64,201408
5.2.3790.1830,x86,79032
5.2.3790.1830,x64,134864
5.2.3790.0,x86,62648
6.1.7600.16385,x64,201408
6.0.6001.18000,x64,196584
6.0.6001.18000,x86,159992
6.1.7600.16385,x64,201408
6.1.7600.16385,x86,160136
5.2.3790.4530,x64,143120
5.2.3790.4530,x86,83144
6.0.6000.16386,x64,196584
6.0.6000.16386,x86,159992
6.0.6001.18000,x86,159992
6.2.8400.0,x64,193264
6.2.9200.16384,x64,193264
6.2.9200.16384,x86,155960
5.2.3790.3959,x86,79032
5.1.2600.5834,x86,58028
5.1.2600.5512,x86,49820
5.1.2600.2180,x86,49820
6.0.6000.16870,x86,164088
6.0.6000.21125,x86,164088
6.0.6001.18272,x86,164088
6.0.6001.22518,x86,164088
6.0.6002.18051,x86,164096
6.0.6002.22223,x86,164096
6.0.6002.22742,x86,164096
6.0.6002.22869,x86,164096
6.1.7600.16385,x86,160136
